X,Y,BoxID,Thickness (m),Speed (m/yr),Width (m),Speed/Width,SpeedxWidth,SpeedxWidthxThickness
437220,-791860,596,78.61,99.4727478027344,9682.15475498331,0.0102738233709327,963110.538129501,1876692.64914551
437460,-792100,596,91.652,69.1609115600586,9682.15475498331,0.00714313221697496,669626.648720202,1521296.6079126
437460,-792340,596,89.09,72.1858901977539,9682.15475498331,0.00745556046401763,698914.960020886,1543449.82985229
437700,-792340,596,85.102,72.1858901977539,9682.15475498331,0.00745556046401763,698914.960020886,1474359.27062622
437700,-792580,596,79.82,74.3095169067383,9682.15475498331,0.00767489456502354,719476.242459089,1423532.553479
437940,-792580,596,74.496,67.0720901489258,9682.15475498331,0.00692739290439501,649402.356562091,1199184.58265625
437940,-792820,596,72.523,65.3408966064453,9682.15475498331,0.00674859039748512,632640.672772968,1137292.28270142
438180,-792820,596,73.675,64.8462524414062,9682.15475498331,0.00669750216583044,627851.45141841,1146611.43566895
438180,-793060,596,75.638,67.6644744873047,9682.15475498331,0.00698857601428839,655137.913400704,1228321.32510498
438420,-793060,596,77.276,93.2089004516602,9682.15475498331,0.00962687571211216,902462.998714808,1728674.6379126
438420,-793300,596,78.959,99.3001174926758,9682.15475498331,0.0102559936300922,961439.104752113,1881753.11450501
438660,-793300,596,79.779,101.168930053711,9682.15475498331,0.0104490098138165,979533.237176112,1937077.4569812
438660,-793540,596,86.17,111.890037536621,9682.15475498331,0.0115563157549235,1083336.65897046,2313975.48828735
438900,-793540,596,90.423,105.046920776367,9682.15475498331,0.0108495395327471,1017080.54349126,2279677.85216675
438900,-793780,596,86.954,105.046920776367,9682.15475498331,0.0108495395327471,1017080.54349126,2192219.98780518
439140,-793780,596,84.614,96.9863891601562,9682.15475498331,0.0100170253021662,939037.228975669,1969537.51977539
439140,-794020,596,95.579,98.6906204223633,9682.15475498331,0.010193043069423,955537.859794638,2263860.19424377
439380,-794020,596,97.194,98.6906204223633,9682.15475498331,0.010193043069423,955537.859794638,2302112.67871948
439380,-794260,596,94.888,103.378303527832,9682.15475498331,0.0106772000803462,1000924.73306411,2354246.51163574
439620,-794260,596,99.056,97.7171096801758,9682.15475498331,0.0100924961594816,946112.17813314,2323071.84395508
439620,-794500,596,101.34,93.9425582885742,9682.15475498331,0.00970264994372486,909566.387429016,2284833.32567139
439860,-794500,596,95.697,92.9017868041992,9682.15475498331,0.00959515615636938,899489.476852724,2133701.35003235
439860,-794740,596,94,92.5767440795898,9682.15475498331,0.00956158483543567,896342.362891074,2088531.34643555
440100,-794740,596,97.36,83.8141632080078,9682.15475498331,0.00865656099587434,811501.69883936,1958435.26318359
440100,-794980,596,101.43,90.7267379760742,9682.15475498331,0.00937051103519886,878430.317499172,2208579.12789917
440100,-795220,596,103.41,96.6257247924805,9682.15475498331,0.00997977487839142,935545.220753224,2398095.8881897
440340,-795220,596,101.22,85.0462341308594,9682.15475498331,0.0087838127238244,823430.800183524,2066011.15649414
440340,-795460,596,100.48,96.8481674194336,9682.15475498331,0.0100027493745219,937698.944691489,2335512.92695313
440580,-795460,596,93.528,79.0207977294922,9682.15475498331,0.00816148881413209,765091.592479177,1773757.72081055
440580,-795700,596,75.353,83.3977813720703,9682.15475498331,0.00861355591627435,807470.225466649,1508225.52473511
440820,-795700,596,87.625,82.7103881835938,9682.15475498331,0.00854256002683943,800814.778238298,1739399.46350098
